ts,server_id,disk_io
20:53:00,server_1,1497.2
20:53:00,server_20,36.21
20:53:00,server_19,20.28
20:53:00,server_18,866.69
20:53:00,server_17,63.39
20:53:00,server_16,27.48
20:53:00,server_14,9497.45
20:53:00,server_13,113.34
20:53:00,server_12,74.03
20:53:00,server_11,106.21
20:53:00,server_15,68.84
20:53:00,server_9,96.88
20:53:00,server_8,1515.72
20:53:00,server_7,178.49
20:53:00,server_6,8108.81
20:53:00,server_5,174.86
20:53:00,server_4,39.7
20:53:00,server_3,96.17
20:53:00,server_2,92.58
20:53:00,server_10,59.79
20:53:05,server_13,149.39
20:53:05,server_14,9795.7
20:53:05,server_15,102.55
20:53:05,server_16,4670.4
20:53:05,server_20,0.16
20:53:05,server_18,87.79
20:53:05,server_19,0.0
20:53:05,server_12,125.72
20:53:05,server_17,4168.83
20:53:05,server_11,36.54
20:53:05,server_5,107.64
20:53:05,server_9,26.38
20:53:05,server_10,6908.66
20:53:05,server_2,13.82
20:53:05,server_3,84.18
20:53:05,server_4,0.0
20:53:05,server_1,44.84
20:53:05,server_6,0.0
20:53:05,server_7,0.0
20:53:05,server_8,47.94
20:53:10,server_20,197.36
20:53:10,server_19,5240.32
20:53:10,server_18,54.43
20:53:10,server_17,69.17
20:53:10,server_16,81.6
20:53:10,server_14,10.73
20:53:10,server_13,100.03
20:53:10,server_12,6.52
20:53:10,server_11,4306.91
20:53:10,server_15,6706.83
20:53:10,server_9,103.43
20:53:10,server_2,165.37
20:53:10,server_3,16.43
20:53:10,server_4,0.0
20:53:10,server_5,20.25
20:53:10,server_1,26.87
20:53:10,server_6,125.45
20:53:10,server_7,69.44
20:53:10,server_8,105.7
20:53:10,server_10,139.17
20:53:15,server_12,21.73
20:53:15,server_19,142.27
20:53:15,server_18,65.32
20:53:15,server_17,50.39
20:53:15,server_16,7759.54
20:53:15,server_15,1301.18
20:53:15,server_14,28.66
20:53:15,server_13,4280.59
20:53:15,server_11,9823.79
20:53:15,server_20,9815.57
20:53:15,server_9,19.19
20:53:15,server_1,0.0
20:53:15,server_2,82.44
20:53:15,server_3,28.17
20:53:15,server_4,3.04
20:53:15,server_10,0.0
20:53:15,server_6,41.34
20:53:15,server_7,36.35
20:53:15,server_8,21.41
20:53:15,server_5,45.63
20:53:20,server_11,91.25
20:53:20,server_19,123.52
20:53:20,server_18,998.52
20:53:20,server_17,123.6
20:53:20,server_16,38.98
20:53:20,server_15,136.05
20:53:20,server_14,951.06
20:53:20,server_13,9863.1
20:53:20,server_12,0.0
20:53:20,server_20,141.68
20:53:20,server_10,137.77
20:53:20,server_8,24.24
20:53:20,server_7,770.2
20:53:20,server_6,51.22
20:53:20,server_5,69.9
20:53:20,server_4,169.79
20:53:20,server_3,165.86
20:53:20,server_2,0.0
20:53:20,server_1,6585.33
20:53:20,server_9,151.1
20:53:25,server_13,128.75
20:53:25,server_14,0.0
20:53:25,server_16,0.0
20:53:25,server_12,30.05
20:53:25,server_18,91.19
20:53:25,server_19,117.86
20:53:25,server_20,99.3
20:53:25,server_17,0.0
20:53:25,server_11,143.64
20:53:25,server_15,75.53
20:53:25,server_9,95.96
20:53:25,server_1,0.0
20:53:25,server_2,47.62
